val_BLEU_4,epoch,train_loss,val_BLEU_1,val_BLEU_2,val_BLEU_3,val_METEOR,val_ROUGE_L,test_BLEU_1,test_BLEU_2,test_BLEU_3,test_BLEU_4,test_METEOR,test_ROUGE_L,time,seed,best_model_from
0.0745238420374048,1,1.603880898310588,0.2990150906529694,0.1621661411702079,0.107146921743436,0.0981238402321643,0.2807477780650393,0.3268292135381556,0.1822788239844857,0.1219037322593067,0.0855258163276594,0.1101480996978556,0.2960680048652936,Sat Nov 29 15:42:28 2025,9233,val
0.0745238420374048,1,1.603880898310588,0.2990150906529694,0.1621661411702079,0.107146921743436,0.0981238402321643,0.2807477780650393,0.3268292135381556,0.1822788239844857,0.1219037322593067,0.0855258163276594,0.1101480996978556,0.2960680048652936,Sat Nov 29 15:42:28 2025,9233,test
0.0911792311933969,1,1.7510447304982406,0.3364543227161063,0.1939039461678222,0.1310065776634453,0.121335370445838,0.2919652259164867,0.3345497197966751,0.2009043202375987,0.1371546092731294,0.0957759547488272,0.1384608188590126,0.3062416544178958,Sat Nov 29 21:05:28 2025,9233,val
0.0911792311933969,1,1.7510447304982406,0.3364543227161063,0.1939039461678222,0.1310065776634453,0.121335370445838,0.2919652259164867,0.3345497197966751,0.2009043202375987,0.1371546092731294,0.0957759547488272,0.1384608188590126,0.3062416544178958,Sat Nov 29 21:05:28 2025,9233,test
0.1466553841244026,6,0.7194820296305876,0.4502985137484678,0.2845335461324187,0.1992824280602003,,0.3491681860453378,0.4507113054843185,0.2861572170579347,0.2016921925850186,0.1494530186750888,,0.359689193298054,Sun Nov 30 19:46:58 2025,9233,val
0.1448027598677468,13,0.5914963772663704,0.4463898085779522,0.2852512079456764,0.1985965537366042,,0.3546745865577073,0.4922930906620285,0.3174929903520922,0.2254950793476574,0.1676518846157471,,0.3800373878496068,Sun Nov 30 19:46:58 2025,9233,test
0.0375367731589753,1,1.6705538713015042,0.2379538513742587,0.1149367466204794,0.067616403513563,,0.1961939587902823,0.228741243897252,0.1168151841479382,0.0702308561199203,0.0380627413371808,,0.2049669451854291,Mon Dec  1 09:22:53 2025,9233,val
0.0375367731589753,1,1.6705538713015042,0.2379538513742587,0.1149367466204794,0.067616403513563,,0.1961939587902823,0.228741243897252,0.1168151841479382,0.0702308561199203,0.0380627413371808,,0.2049669451854291,Mon Dec  1 09:22:53 2025,9233,test
0.15038340357631125,8,0.6925194148833935,0.4238633422482595,0.282722005750386,0.20293390927176896,,0.34546740087073347,0.4163041586914731,0.2830673413662214,0.2086149747301007,0.15790627984376554,,0.35831404723801463,Mon Dec  1 16:53:28 2025,9233,val
0.15038340357631125,8,0.6925194148833935,0.4238633422482595,0.282722005750386,0.20293390927176896,,0.34546740087073347,0.4163041586914731,0.2830673413662214,0.2086149747301007,0.15790627984376554,,0.35831404723801463,Mon Dec  1 16:53:28 2025,9233,test
